,index,url,标题,地址,优势1,优势2,优势3,总价,户型,建筑面积,单价,总楼层,ID,小区,有无电梯,住宅类别,建筑结构,建筑类别,挂牌时间,参考均价,同比去年,环比上月,挂牌房源,物业类型,物业费用,建筑年代,绿  化  率,容  积  率,人车分流,总楼栋数,总  户  数,产权年限,卧室,客厅,卫生间,区域_北塘区,区域_南长区,区域_崇安区,区域_惠山区,区域_新区,区域_新吴区,区域_梁溪区,区域_江阴市,区域_滨湖区,区域_经开区,区域_锡山区,楼层层次_中层,楼层层次_低层,楼层层次_底层,楼层层次_顶层,楼层层次_高层,装修_暂无,装修_毛坯,装修_简装修,装修_精装修,装修_豪华装修,朝向_东,朝向_东北,朝向_东南,朝向_北,朝向_南,朝向_南北,朝向_西,朝向_西北,朝向_西南,产权性质_个人产权,产权性质_商品房,产权性质_经济适用房,建筑类型_塔楼,建筑类型_板塔结合,建筑类型_板楼
0,0,https://wuxi.esf.fang.com/chushou/3_172816596.htm,"豪装边套2房,南北通透,全明户型,房东换房急售,看房方便",柏庄-新明西路2号,满二,[],[],106.0,2室2厅1卫,91,11620,33.0,172816596,东璟家园,0,普通住宅,平层,板楼,19573.0,12593.0,↓8%,↓2.45%,8 套在售二手房,住宅,0.8,2010,35,1.6,0,4,4.0,70,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,1,https://wuxi.esf.fang.com/chushou/3_172857829.htm,凤屿山河 新出特价房110平220万 欢迎致电咨询,荣巷-渔港路与听涛路交叉口东南侧,[],[],[],220.0,4室2厅2卫,111,19820,6.0,172857829,凤屿山河,0,普通住宅,平层,板楼,19533.0,18605.0,暂无资料,暂无资料,11 套在售二手房,住宅,3.6,2023,35,1.3,0,42,385.0,70,4.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,2,https://wuxi.esf.fang.com/chushou/3_172856595.htm,"广益佳苑旁,毛坯4楼,带一电动车库,房东换房急售,看房方便",广益-广益路与江海东路的交叉口,满二,优质教育,距2号线广益站约959米,79.0,2室2厅1卫,86,9180,6.0,172856595,广益星苑,0,普通住宅,平层,板楼,19531.0,12351.0,↓6.43%,↓0.33%,4 套在售二手房,住宅,1.25,2009,37,1.0,0,121,2972.0,70,2.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3,3,https://wuxi.esf.fang.com/chushou/3_172847439.htm,首付20W!包土出!东林加侨谊古运五爱苑精装好房,清扬版块-化肥桥通阳路与新光路交叉口,满五,优质教育,距1号线华清大桥站约475米,72.0,2室1厅1卫,48,14809,7.0,172847439,古运五爱苑,0,普通住宅,平层,板楼,19520.0,14504.0,↓7.8%,↓2.7%,3 套在售二手房,住宅,1.15,1996,20,1.8,0,49,4038.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,4,https://wuxi.esf.fang.com/chushou/3_172872597.htm,"3楼精装2房朝南,南北通透,房东换房急售,靖海地铁口100米",学前东路-学前东路和江海高架交汇处华东商贸城旁,满二,优质教育,距3号线东风站约529米,88.0,2室2厅1卫,73,11968,7.0,172872597,宁海里一期,0,普通住宅,平层,板楼,19549.0,12105.0,↓6.01%,↑0.3%,4 套在售二手房,住宅,0.1,1994,30,2.0,0,61,2744.0,70,2.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,5,https://wuxi.esf.fang.com/chushou/3_172830196.htm,房东 急需钱周转 诚心出售顶复 赠送面积多,清扬版块-无锡市梁溪区塘南路131号,满二,[],[],400.0,4室2厅2卫,143,27972,6.0,172830196,融创运河壹号府公寓,0,普通住宅,跃层,板楼,19503.0,23657.0,↓8.15%,↓0.53%,19 套在售二手房,住宅,1.7,2020,30,2.16,0,1,1.0,40,4.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,6,https://wuxi.esf.fang.com/chushou/3_172885554.htm,四连排别墅边套 有150平大院子 看房随时 房东诚意出售,江阴-新郁西路与花园路交界口往西50米,满二,[],[],218.0,4室2厅3卫,190,11474,2.0,172885554,蓝光雍锦源,0,普通住宅,,板楼,19563.0,10183.0,↑65.34%,↑15.17%,1 套在售二手房,住宅,1.7,2020,30,2.16,0,9,9.0,70,4.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,7,https://wuxi.esf.fang.com/chushou/3_172801476.htm,"SF15W,简装2房,一南一北,皇金楼层,房东换房急售","广益-广丰菜场对面,广瑞路和江海路交接处附近",满二,优质教育,距3号线广瑞站约959米,67.5,2室1厅1卫,61,10988,6.0,172801476,广丰二村,0,普通住宅,平层,板楼,19571.0,12255.0,↓2.38%,↓0.98%,3 套在售二手房,住宅,0.3,2000,30,2.0,0,23,979.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
8,8,https://wuxi.esf.fang.com/chushou/3_172865094.htm,"精装2房,南北通透,客厅带窗,全明户型,房东换房急售",学前东路-学前东路和江海高架交汇处华东商贸城旁,满二,优质教育,距3号线东风站约529米,59.8,2室1厅1卫,51,11659,7.0,172865094,宁海里一期,0,普通住宅,平层,板楼,19539.0,12105.0,↓6.01%,↑0.3%,4 套在售二手房,住宅,0.1,1994,30,2.0,0,61,2744.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9,9,https://wuxi.esf.fang.com/chushou/3_172902041.htm,"毛坯南北竖套,近东风站地铁口,近长江北路大润发超市",学前东路-金海里,满二,优质教育,距3号线东风站约421米,66.0,2室1厅1卫,60,10947,6.0,172902041,金海里,0,普通住宅,平层,板楼,19573.0,11944.0,↓7.46%,↓0.39%,1 套在售二手房,住宅,0.2,1992,35,1.8,0,66,3798.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
