,建筑面积,单价,总楼层,有无电梯,挂牌时间,物业费用,建筑年代,绿  化  率,容  积  率,人车分流,总楼栋数,总  户  数,产权年限,卧室,客厅,卫生间,区域_北塘区,区域_南长区,区域_崇安区,区域_惠山区,区域_新区,区域_新吴区,区域_梁溪区,区域_江阴市,区域_滨湖区,区域_经开区,区域_锡山区,楼层层次_中层,楼层层次_低层,楼层层次_底层,楼层层次_顶层,楼层层次_高层,装修_暂无,装修_毛坯,装修_简装修,装修_精装修,装修_豪华装修,朝向_东,朝向_东北,朝向_东南,朝向_北,朝向_南,朝向_南北,朝向_西,朝向_西北,朝向_西南,产权性质_个人产权,产权性质_商品房,产权性质_经济适用房,建筑类型_塔楼,建筑类型_板塔结合,建筑类型_板楼
0,91,11620,33.0,0,19573.0,0.8,2010,35,1.6,0,4,4.0,70,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,111,19820,6.0,0,19533.0,3.6,2023,35,1.3,0,42,385.0,70,4.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
2,86,9180,6.0,0,19531.0,1.25,2009,37,1.0,0,121,2972.0,70,2.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
3,48,14809,7.0,0,19520.0,1.15,1996,20,1.8,0,49,4038.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
4,73,11968,7.0,0,19549.0,0.1,1994,30,2.0,0,61,2744.0,70,2.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
5,143,27972,6.0,0,19503.0,1.7,2020,30,2.16,0,1,1.0,40,4.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
6,190,11474,2.0,0,19563.0,1.7,2020,30,2.16,0,9,9.0,70,4.0,2.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
7,61,10988,6.0,0,19571.0,0.3,2000,30,2.0,0,23,979.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
8,51,11659,7.0,0,19539.0,0.1,1994,30,2.0,0,61,2744.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9,60,10947,6.0,0,19573.0,0.2,1992,35,1.8,0,66,3798.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
10,112,17333,33.0,1,19515.0,1.95,2014,45,1.8,0,10,1737.0,70,3.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
11,60,16667,6.0,0,19571.0,0.3,1992,30,2.0,0,74,2364.0,70,3.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,143,29965,25.0,0,19571.0,2.75,2018,30,2.67,0,26,2167.0,70,4.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
13,98,16837,28.0,1,19542.0,3.2,2021,35,2.0,0,23,148.0,70,3.0,2.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14,89,15730,1.0,1,19533.0,1.2,2006,40,1.3,0,66,4085.0,70,2.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
15,90,24222,33.0,1,19495.0,2.93,2018,33,2.1,0,20,1457.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
16,114,18761,27.0,1,19534.0,3.3,2021,30,2.0,0,15,1082.0,70,3.0,2.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
17,90,27333,33.0,1,19573.0,3.6,2021,30,2.0,0,10,697.0,70,3.0,2.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
18,50,10800,6.0,0,19531.0,0.4,1988,30,1.58,0,44,1894.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
19,80,10130,7.0,0,19541.0,0.1,1994,30,2.0,0,61,2744.0,70,3.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
20,124,13659,18.0,0,19562.0,1.3,2009,43,1.5,0,73,3406.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
21,102,11765,11.0,0,19537.0,0.5,2007,30,2.0,0,48,2577.0,70,2.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
22,106,20124,32.0,0,19502.0,2.75,2016,36,2.49,0,53,6695.0,70,3.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
23,105,12381,18.0,1,19574.0,3.22,2022,30,2.2,0,9,572.0,70,3.0,2.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
24,89,16049,18.0,1,19574.0,3.3,2023,30,1.8,0,12,888.0,70,3.0,2.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
25,85,13684,33.0,1,19566.0,1.6,1995,20,2.0,0,10,1466.0,70,2.0,2.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
26,91,15916,33.0,1,19566.0,1.6,1995,20,2.0,0,10,1466.0,70,2.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
27,91,16994,22.0,1,19569.0,2.3,2016,30,1.49,0,61,1042.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
28,89,16497,32.0,1,19565.0,2.5,2015,32,2.82,0,18,2299.0,70,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
29,86,19761,27.0,1,19569.0,2.5,2019,30,2.0,0,25,1232.0,70,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
30,100,15800,33.0,1,19572.0,1.7,2015,35,0.99,0,137,6232.0,70,3.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
31,116,18793,18.0,1,19571.0,3.2,2023,35,2.5,0,16,1318.0,70,3.0,2.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
32,141,27027,6.0,0,19571.0,3.9,2021,35,1.5,0,21,608.0,70,3.0,2.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
33,143,23728,25.0,1,19557.0,1.95,2010,35,2.99,0,18,3574.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
34,88,25000,27.0,0,19533.0,2.3,2016,30,3.1,0,30,4108.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
35,170,27059,32.0,1,19557.0,4.0,2014,37,2.48,0,16,2035.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
36,200,28463,11.0,0,19537.0,2.85,2014,40,1.5,0,70,1219.0,70,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
37,89,23933,30.0,1,19554.0,2.3,2016,30,3.1,0,30,4108.0,70,3.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
38,132,19318,11.0,1,19568.0,1.6,2011,41,1.8,0,44,2932.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
39,68,13952,18.0,0,19533.0,0.7,2009,30,1.26,0,30,3281.0,70,2.0,1.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
40,85,25273,34.0,1,19557.0,2.3,2016,30,3.1,0,30,4108.0,70,3.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
41,268,36194,37.0,1,19557.0,2.7,2016,48,2.36,0,107,2199.0,70,4.0,2.0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
42,142,20059,10.0,1,19557.0,1.2,2010,70,1.19,0,41,2359.0,70,3.0,2.0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
